Name,Price,Fuel Type,Transmission,Kilometers Driven,Make Year,Owner,location,Year,Location
2022 Renault TRIBER RXZ AMT,619000.0,Petrol,Automatic,53012,Feb 2022,1,"Bellahalli, Bengaluru",2022,Bellahalli
2022 Renault Kwid CLIMBER AMT 1.0,447000.0,Petrol,Automatic,46292,Jan 2022,1,"Bellahalli, Bengaluru",2022,Bellahalli
2019 Renault Duster 85 PS RXZ DIESEL,767000.0,Diesel,Manual,94521,Feb 2019,1,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2019,Whitefield Main Road
2020 Renault Duster RXZ 1.5 PETROL MT,681000.0,Petrol,Manual,63077,Aug 2020,1,"Bellahalli, Bengaluru",2020,Bellahalli
2022 Renault Kwid CLIMBER MT 1.0,458000.0,Petrol,Manual,32565,Apr 2022,1,Gandhi Nagar,2022,Gandhi Nagar
2021 Renault Kiger RXZ TURBO MT DUAL TONE,685000.0,Petrol,Manual,36790,Jun 2021,1,Gandhi Nagar,2021,Gandhi Nagar
2024 Renault Kiger RXZ TURBO CVT,893000.0,Petrol,Automatic,11862,Jul 2024,1,"Bellahalli, Bengaluru",2024,Bellahalli
2017 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,652000.0,Diesel,Automatic,94612,Jul 2017,1,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2017,Whitefield Main Road
2018 Renault Captur RXT PETROL,552000.0,Petrol,Manual,65688,Jan 2018,1,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore",2018,Hosur Road
2018 Renault Duster 110 PS RXZ DIESEL,702000.0,Diesel,Manual,82474,Jan 2018,1,"Vaishnavi Sapphire Centre, Yeswanthpur",2018,Vaishnavi Sapphire Centre
2019 Renault Kwid RXT 0.8 (O),293000.0,Petrol,Manual,106473,Jun 2019,2,Electronic City Bengaluru Karnataka,2019,Electronic City Bengaluru Karnataka
2014 Renault Duster RXL PETROL,475000.0,Petrol,Manual,68069,Feb 2014,1,Frazer Town Bengaluru Karnataka,2014,Frazer Town Bengaluru Karnataka
2015 Renault Duster 110 PS RXL DIESEL,266000.0,Diesel,Manual,100000,Nov 2015,2,Bommanahalli Bengaluru Karnataka,2015,Bommanahalli Bengaluru Karnataka
2019 Renault Duster 85 PS RXS MT DIESEL,850000.0,Diesel,Manual,42395,Apr 2019,2,Kodigehalli Bengaluru Karnataka,2019,Kodigehalli Bengaluru Karnataka
2016 Renault Kwid RXT 1.0,213000.0,Petrol,Manual,65926,Jul 2016,1,White Field Bengaluru Karnataka,2016,White Field Bengaluru Karnataka
2016 Renault Kwid RXT 0.8 (O),210000.0,Petrol,Manual,126273,Aug 2016,1,Whitefield Bengaluru Karnataka,2016,Whitefield Bengaluru Karnataka
2019 Renault Kwid RXT 0.8 (O),200000.0,Petrol,Manual,81127,Feb 2019,1,Shriram WYTField Bendiganahalli Karnataka,2019,Shriram WYTField Bendiganahalli Karnataka
2016 Renault Kwid RXT 0.8,279000.0,Petrol,Manual,49085,Apr 2016,3,Jakkur Bengaluru Karnataka,2016,Jakkur Bengaluru Karnataka
2017 Renault Kwid RXT 1.0,345000.0,Petrol,Manual,74246,Nov 2017,1,Banashankari Bengaluru Karnataka,2017,Banashankari Bengaluru Karnataka
2016 Renault Kwid RXT 0.8,194000.0,Petrol,Manual,76986,May 2016,4,Yeswanthpur Bengaluru,2016,Yeswanthpur Bengaluru
2017 Renault Kwid RXL 1.0 AMT,360000.0,Petrol,Automatic,63923,Apr 2017,2,Panduranga Nagar Bengaluru Karnataka,2017,Panduranga Nagar Bengaluru Karnataka
2018 Renault Kwid CLIMBER 1.0,320000.0,Petrol,Manual,46272,Jan 2018,1,Bengaluru Bellahalli Karnataka,2018,Bengaluru Bellahalli Karnataka
2019 Renault TRIBER RXZ,409999.99999999994,Petrol,Manual,59640,Nov 2019,2,Dodda Banaswadi Bengaluru Karnataka,2019,Dodda Banaswadi Bengaluru Karnataka
2016 Renault Kwid RXT 0.8,260000.0,Petrol,Manual,75441,Feb 2016,1,Kadubeesanahalli Bengaluru Karnataka,2016,Kadubeesanahalli Bengaluru Karnataka
2018 Renault Kwid CLIMBER 1.0 AMT,400000.0,Petrol,Automatic,30099,May 2018,2,Nehru Nagar Bengaluru Karnataka,2018,Nehru Nagar Bengaluru Karnataka
2020 Renault TRIBER RXE MT,463999.99999999994,Petrol,Manual,90173,Nov 2020,1,Aavalahalli Bengaluru,2020,Aavalahalli Bengaluru
2013 Renault Scala RXL DIESEL,158000.0,Diesel,Manual,126606,Jan 2013,2,Hegganahalli Bengaluru Karnataka,2013,Hegganahalli Bengaluru Karnataka
2017 Renault Kwid RXT 1.0 AMT,350000.0,Petrol,Automatic,38041,Feb 2017,2,Whitefield Bengaluru Karnataka,2017,Whitefield Bengaluru Karnataka
2022 Renault Kiger RXT MT,556000.0,Petrol,Manual,54557,Jul 2022,1,Peenya Bengaluru Karnataka,2022,Peenya Bengaluru Karnataka
2015 Renault Kwid RXT 0.8,267000.0,Petrol,Manual,100456,Sep 2015,2,J. P. Nagar Bengaluru,2015,J. P. Nagar Bengaluru
2018 Renault Kwid RXT 1.0 AMT (O),380000.0,Petrol,Automatic,48256,Oct 2018,2,Varadharaja Nagar Bengaluru Karnataka,2018,Varadharaja Nagar Bengaluru Karnataka
2021 Renault Kwid RXL 1.0 AMT,355000.0,Petrol,Automatic,9089,Jul 2021,2,Hoodi Bengaluru Karnataka,2021,Hoodi Bengaluru Karnataka
2017 Renault Kwid RXT 1.0 AMT (O),319000.0,Petrol,Automatic,36924,Feb 2017,3,Krishnarajapuram Bengaluru,2017,Krishnarajapuram Bengaluru
2018 Renault Kwid RXT 1.0 AMT,422000.0,Petrol,Automatic,27893,Sep 2018,1,Konadasapura Bengaluru Karnataka,2018,Konadasapura Bengaluru Karnataka
2016 Renault Kwid RXT 0.8,248000.0,Petrol,Manual,56338,Jun 2016,1,Krishnarajapura Bengaluru Karnataka,2016,Krishnarajapura Bengaluru Karnataka
2020 Renault Kwid CLIMBER 1.0 (O),415000.00000000006,Petrol,Manual,34185,Aug 2020,1,Naagarabhaavi Bengaluru,2020,Naagarabhaavi Bengaluru
2012 Renault Scala RXL DIESEL,215000.0,Diesel,Manual,126000,Dec 2012,1,Banaswadi Bengaluru Karnataka,2012,Banaswadi Bengaluru Karnataka
2018 Renault Kwid RXT 1.0 AMT,360000.0,Petrol,Automatic,17851,Jan 2018,3,Doddanagamangala Village Bengaluru Karnataka,2018,Doddanagamangala Village Bengaluru Karnataka
2020 Renault TRIBER RXL MT,600000.0,Petrol,Manual,118215,Dec 2020,2,Hebbal Bengaluru,2020,Hebbal Bengaluru
2021 Renault Kwid RXT 1.0 (O),450000.0,Petrol,Manual,18630,Feb 2021,1,Manchenahalli Bengaluru Karnataka,2021,Manchenahalli Bengaluru Karnataka
2016 Renault Duster 85 PS RXE DIESEL,542000.0,Diesel,Manual,77909,May 2016,1,Banashankari Temple Ward Bengaluru Karnataka,2016,Banashankari Temple Ward Bengaluru Karnataka
2017 Renault Kwid RXL 1.0,300000.0,Petrol,Manual,31360,Mar 2017,2,Viveka Nagar Bengaluru Karnataka,2017,Viveka Nagar Bengaluru Karnataka
2023 Renault TRIBER RXT,750000.0,Petrol,Manual,17468,Jul 2023,1,Kogilu Bengaluru Karnataka,2023,Kogilu Bengaluru Karnataka
2021 Renault Kwid RXL,425000.0,Petrol,Manual,12393,Aug 2021,1,Anjanadri Layout Konanakunte Bengaluru,2021,Anjanadri Layout Konanakunte Bengaluru
2021 Renault Kwid RXT 1.0 (O),380000.0,Petrol,Manual,72336,Mar 2021,2,Nagavara Bengaluru,2021,Nagavara Bengaluru
2020 Renault Kwid RXT 1.0 (O),441000.0,Petrol,Manual,24332,Oct 2020,1,Aavalahalli Bengaluru Karnataka,2020,Aavalahalli Bengaluru Karnataka
2017 Renault Kwid CLIMBER 1.0 AMT,318000.0,Petrol,Automatic,56252,Apr 2017,2,J. P. Nagar Bengaluru Karnataka,2017,J. P. Nagar Bengaluru Karnataka
2023 Renault Kwid RXT 1.0 AMT,509999.99999999994,Petrol,Automatic,1248,Jul 2023,1,Krishnarajapuram Bengaluru Karnataka,2023,Krishnarajapuram Bengaluru Karnataka
2023 Renault Kwid RXT 1.0 AMT,604000.0,Petrol,Automatic,2938,Jul 2023,1,Subramanyapura Bengaluru Karnataka,2023,Subramanyapura Bengaluru Karnataka
2016 Renault Duster 110 PS RXL 4X2 AMT,434999.99999999994,Diesel,Automatic,89398,Apr 2016,2,Bennigana Halli Bengaluru Karnataka,2016,Bennigana Halli Bengaluru Karnataka
2020 Renault TRIBER RXZ AMT,600000.0,Petrol,Automatic,37796,Aug 2020,1,Electronic City Bengaluru Karnataka,2020,Electronic City Bengaluru Karnataka
2019 Renault TRIBER RXL MT,636000.0,Petrol,Manual,7394,Sep 2019,1,ಕೋಣನಕುಂಟೆ ಬೆಂಗಳೂರು ಕರ್ನಾಟಕ,2019,ಕೋಣನಕುಂಟೆ ಬೆಂಗಳೂರು ಕರ್ನಾಟಕ
2020 Renault TRIBER RXZ AMT,650000.0,Petrol,Automatic,21500,Jul 2020,1,Choodasandra Bengaluru Karnataka,2020,Choodasandra Bengaluru Karnataka
2023 Renault Kwid CLIMBER MT 1.0,550000.0,Petrol,Manual,9629,Apr 2023,1,Kothnur Bengaluru Karnataka,2023,Kothnur Bengaluru Karnataka
2017 Renault Kwid RXT 1.0 AMT,295000.0,Petrol,Automatic,66992,Feb 2017,3,Kadugodi Bengaluru Karnataka,2017,Kadugodi Bengaluru Karnataka
2023 Renault Kwid RXT 1.0,473000.00000000006,Petrol,Manual,35972,Feb 2023,1,Bengaluru Ullal Karnataka,2023,Bengaluru Ullal Karnataka
2014 Renault Duster 85 PS RXL DIESEL,600000.0,Diesel,Manual,88835,Dec 2014,1,BTM Layout Bengaluru,2014,BTM Layout Bengaluru
2012 Renault Duster 85 PS RXL DIESEL,300000.0,Diesel,Manual,113934,Jan 2012,3,Kadusonnapanahalli Bengaluru Karnataka,2012,Kadusonnapanahalli Bengaluru Karnataka
2017 Renault Duster 85 PS RXZ DIESEL,695000.0,Diesel,Manual,48880,May 2017,1,Koti Hosahalli Bengaluru Karnataka,2017,Koti Hosahalli Bengaluru Karnataka
2014 Renault Duster 110 PS RXZ 4X4 MT DIESEL,640000.0,Diesel,Manual,57000,Aug 2014,1,Kammanahalli Bengaluru Karnataka,2014,Kammanahalli Bengaluru Karnataka
2014 Renault Duster 85 PS RXL DIESEL,380000.0,Diesel,Manual,106000,Jan 2014,3,Kodipalya Bengaluru,2014,Kodipalya Bengaluru
2021 Renault TRIBER RXZ,625000.0,Petrol,Manual,38579,Feb 2021,1,Mathikere Bengaluru,2021,Mathikere Bengaluru
2015 Renault Duster 110 PS RXZ 4X4 MT DIESEL,592000.0,Diesel,Manual,70510,Jan 2015,3,Kengeri Satellite Town Bengaluru Karnataka,2015,Kengeri Satellite Town Bengaluru Karnataka
2021 Renault Kwid CLIMBER 1.0 AMT,482000.0,Petrol,Automatic,57080,Aug 2021,2,Ambalamukku Thiruvananthapuram,2021,Ambalamukku Thiruvananthapuram
2019 Renault Kwid CLIMBER 1.0 AMT,350000.0,Petrol,Automatic,37995,May 2019,2,Yelahanka Bengaluru Karnataka,2019,Yelahanka Bengaluru Karnataka
2016 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,595000.0,Diesel,Automatic,128150,Aug 2016,2,Nandini Layout Bengaluru Karnataka,2016,Nandini Layout Bengaluru Karnataka
2022 Renault Kwid RXT 1.0 AMT,542000.0,Petrol,Automatic,17000,Nov 2022,1,Electronic City Bengaluru,2022,Electronic City Bengaluru
2014 Renault Duster 110 PS RXL DIESEL,400000.0,Diesel,Manual,137652,Aug 2014,1,Kothnur Bengaluru Karnataka,2014,Kothnur Bengaluru Karnataka
2013 Renault Pulse RXL PETROL,300000.0,Petrol,Manual,62473,Jun 2013,1,Chandra Layout Bengaluru Karnataka,2013,Chandra Layout Bengaluru Karnataka
2018 Renault Kwid CLIMBER 1.0 AMT,400000.0,Petrol,Automatic,29917,May 2018,2,Nehru Nagar Bengaluru,2018,Nehru Nagar Bengaluru
2013 Renault Duster 110 PS RXL DIESEL,519000.00000000006,Diesel,Manual,172446,Jun 2013,1,Electronic City Bengaluru Karnataka,2013,Electronic City Bengaluru Karnataka
2018 Renault Captur RXL DIESEL,700000.0,Diesel,Manual,139387,Jan 2018,2,K. C. Krishna Reddy Layout Bengaluru Karnataka,2018,K. C. Krishna Reddy Layout Bengaluru Karnataka
2019 Renault Duster 110 PS RXS MT DIESEL,725000.0,Diesel,Manual,88115,Sep 2019,2,Thanisandra Bengaluru Karnataka,2019,Thanisandra Bengaluru Karnataka
2014 Renault Duster 85 PS RXL DIESEL,525000.0,Diesel,Manual,88646,Dec 2014,1,BTM Layout Bengaluru,2014,BTM Layout Bengaluru
2019 Renault TRIBER RXZ,550000.0,Petrol,Manual,80017,Dec 2019,1,Krishnarajapuram Bengaluru Karnataka,2019,Krishnarajapuram Bengaluru Karnataka
2023 Renault TRIBER RXZ AMT,738000.0,Petrol,Automatic,7767,Jul 2023,1,Kannuru Bengaluru,2023,Kannuru Bengaluru
2020 Renault TRIBER RXZ,516000.0,Petrol,Manual,82418,Feb 2020,2,RT Nagar Bengaluru Karnataka,2020,RT Nagar Bengaluru Karnataka
2021 Renault TRIBER RXZ DUAL TONE,575000.0,Petrol,Manual,83856,Mar 2021,1,Opposite to ZED Mansion Bengaluru Karnataka,2021,Opposite to ZED Mansion Bengaluru Karnataka
2017 Renault Kwid RXT 1.0 AMT,360000.0,Petrol,Automatic,22407,Mar 2017,2,Doddakannelli Bengaluru,2017,Doddakannelli Bengaluru
2021 Renault Kwid RXL,398000.0,Petrol,Manual,26021,Nov 2021,1,Hullahalli Bengaluru Karnataka,2021,Hullahalli Bengaluru Karnataka
2021 Renault Kwid CLIMBER 1.0 (O),428000.0,Petrol,Manual,25133,Oct 2021,2,Murgeshpallya Bengaluru,2021,Murgeshpallya Bengaluru
2016 Renault Lodgy 85 PS RXL WORLD EDITION 8 STR,513999.99999999994,Diesel,Manual,43812,Oct 2016,1,Electronic City Bengaluru Karnataka,2016,Electronic City Bengaluru Karnataka
2018 Renault Duster RXL PETROL,760000.0,Petrol,Manual,19600,Sep 2018,1,Kacharakanahalli Bengaluru Karnataka,2018,Kacharakanahalli Bengaluru Karnataka
2013 Renault Duster 85 PS RXE DIESEL,340000.0,Diesel,Manual,142126,Jun 2013,2,RK Hegde Nagar Bengaluru,2013,RK Hegde Nagar Bengaluru
2021 Renault Kwid CLIMBER 1.0 (O),405000.0,Petrol,Manual,119678,Aug 2021,2,Jayanagar Bengaluru Karnataka,2021,Jayanagar Bengaluru Karnataka
2022 Renault Kiger RXT AMT,620000.0,Petrol,Automatic,18285,Sep 2022,1,Maruthi Sevanagar Bengaluru Karnataka,2022,Maruthi Sevanagar Bengaluru Karnataka
2014 Renault Duster 85 PS RXL DIESEL,370000.0,Diesel,Manual,100451,Jan 2014,3,Mahalakshmi Layout Bengaluru Karnataka,2014,Mahalakshmi Layout Bengaluru Karnataka
2018 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,650000.0,Diesel,Automatic,193759,May 2018,1,Vishveshwaraya Nagar Bengaluru Karnataka,2018,Vishveshwaraya Nagar Bengaluru Karnataka
2022 Renault Kiger RXZ TURBO CVT,899000.0,Petrol,Automatic,41620,Mar 2022,1,Annapurneshwari Nagar Bengaluru,2022,Annapurneshwari Nagar Bengaluru
2014 Renault Duster 85 PS RXL PLUS DIESEL,500000.0,Diesel,Manual,90143,Feb 2014,2,Bommanahalli Bengaluru Karnataka,2014,Bommanahalli Bengaluru Karnataka
2018 Renault Duster 110 PS RXZ DIESEL,850000.0,Diesel,Manual,119862,Jan 2018,1,Bangalore Jakkur Bangalore,2018,Bangalore Jakkur Bangalore
