Name,Price,Fuel Type,Transmission,Kilometers Driven,Make Year,Owner,location,Year,Location
2018 Renault Duster 110 PS RXS SANDSTORM EDITION DIESEL,810000.0,Diesel,Manual,157738,Jul 2018,1,Kanmanike Bengaluru,2018,Kanmanike Bengaluru
2024 Renault Kwid CLIMBER AMT 1.0,550000.0,Petrol,Automatic,6202,Jul 2024,1,Attiguppe Bengaluru Karnataka,2024,Attiguppe Bengaluru Karnataka
2018 Renault Duster RXL PETROL,612000.0,Petrol,Manual,68821,Jan 2018,1,Binnipete Bengaluru Karnataka,2018,Binnipete Bengaluru Karnataka
2017 Renault Captur RXT DIESEL,708000.0,Diesel,Manual,143625,Aug 2017,1,Nandini Layout Bengaluru Karnataka,2017,Nandini Layout Bengaluru Karnataka
2024 Renault Kwid CLIMBER AMT 1.0,640000.0,Petrol,Automatic,2895,Jan 2024,1,Subramanyapura Bengaluru Karnataka,2024,Subramanyapura Bengaluru Karnataka
2021 Renault Kiger RXZ TURBO CVT,720000.0,Petrol,Automatic,30123,Nov 2021,2,Krishnarajapuram Bengaluru Karnataka,2021,Krishnarajapuram Bengaluru Karnataka
2020 Renault Kwid RXT 1.0 AMT (O),397000.0,Petrol,Automatic,50395,Mar 2020,1,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore",2020,Hosur Road
2017 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,752000.0,Diesel,Automatic,41115,May 2017,1,"Bellahalli, Bengaluru",2017,Bellahalli
2013 Renault Duster RXE PETROL,397000.0,Petrol,Manual,54461,Sep 2013,2,"Vaishnavi Sapphire Centre, Yeswanthpur",2013,Vaishnavi Sapphire Centre
2016 Renault Duster 110 PS RXL 4X2 AMT,700000.0,Diesel,Automatic,83500,Mar 2016,2,Nayanda Halli Bengaluru Karnataka,2016,Nayanda Halli Bengaluru Karnataka
2018 Renault Duster RXS CVT,483000.0,Petrol,Automatic,102621,Apr 2018,2,Nexus Whitefield,2018,Nexus Whitefield
2021 Renault Kwid RXT 1.0 (O),323000.0,Petrol,Manual,77490,Jan 2021,1,"Vaishnavi Sapphire Centre, Yeswanthpur",2021,Vaishnavi Sapphire Centre
2017 Renault Kwid RXT 0.8,238000.0,Petrol,Manual,49133,Jun 2017,3,"Vaishnavi Sapphire Centre, Yeswanthpur",2017,Vaishnavi Sapphire Centre
2018 Renault Duster RXS CVT,583000.0,Petrol,Automatic,76221,Aug 2018,1,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2018,Whitefield Main Road
2018 Renault Duster RXS CVT,528000.0,Petrol,Automatic,88063,Feb 2018,2,"GT World Mall, Bengaluru",2018,GT World Mall
2019 Renault Kwid RXT 1.0 AMT (O),326000.0,Petrol,Automatic,33831,Nov 2019,2,"Bellahalli, Bengaluru",2019,Bellahalli
2016 Renault Kwid RXT 0.8,256999.99999999997,Petrol,Manual,30597,Aug 2016,2,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore",2016,Hosur Road
2014 Renault Duster RXL PETROL,465000.00000000006,Petrol,Manual,39203,Jun 2014,1,"GT World Mall, Bengaluru",2014,GT World Mall
2018 Renault Kwid RXT 1.0 AMT,365000.0,Petrol,Automatic,18949,Aug 2018,1,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2018,Whitefield Main Road
2015 Renault Duster 85 PS RXL DIESEL,503000.0,Diesel,Manual,104841,Apr 2015,1,Gandhi Nagar,2015,Gandhi Nagar
2022 Renault Kwid RXT 1.0 AMT,437000.0,Petrol,Automatic,2690,Aug 2022,2,"Bellahalli, Bengaluru",2022,Bellahalli
2020 Renault TRIBER RXZ,579000.0,Petrol,Manual,32683,Mar 2020,1,Gandhi Nagar,2020,Gandhi Nagar
2018 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,708000.0,Diesel,Automatic,66058,May 2018,2,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore",2018,Hosur Road
2014 Renault Duster RXE PETROL,333000.0,Petrol,Manual,57039,Dec 2014,1,"Regency Anantam, Dombivli East",2014,Regency Anantam
2020 Renault Kwid RXL,296000.0,Petrol,Manual,51575,Jan 2020,2,Thakur Village Kandivali E Mumbai,2020,Thakur Village Kandivali E Mumbai
2021 Renault Kwid RXT 1.0 (O),331000.0,Petrol,Manual,35194,Feb 2021,2,"Korum Mall, Thane West",2021,Korum Mall
2017 Renault Kwid 1.0 RXT 02 Anniversary Edition,216000.0,Petrol,Manual,104364,Aug 2017,1,"Mulund West, Mumbai",2017,Mulund West
2018 Renault Kwid RXT 1.0 AMT (O),271000.0,Petrol,Automatic,28064,Oct 2018,1,"Mulund West, Mumbai",2018,Mulund West
2020 Renault TRIBER RXT,425000.0,Petrol,Manual,36524,Oct 2020,1,"Goregaon, Mumbai",2020,Goregaon
2024 Renault Kiger RXT MT,636000.0,Petrol,Manual,4347,Nov 2024,1,"Korum Mall, Thane West",2024,Korum Mall
2018 Renault Kwid RXT 1.0 AMT (O),241000.0,Petrol,Automatic,57532,Oct 2018,3,"Regency Anantam, Dombivli East",2018,Regency Anantam
2018 Renault Captur RXT PETROL DUAL TONE,495000.0,Petrol,Manual,60954,Jan 2018,1,"Regency Anantam, Dombivli East",2018,Regency Anantam
2017 Renault Kwid RXT 1.0 AMT (O),278000.0,Petrol,Automatic,37138,Feb 2017,2,"Goregaon, Mumbai",2017,Goregaon
2020 Renault TRIBER RXL MT,469000.00000000006,Petrol,Manual,35816,Mar 2020,1,Seawood,2020,Seawood
2022 Renault Kwid RXT 1.0 AMT,416000.0,Petrol,Automatic,3527,Jul 2022,1,"Goregaon, Mumbai",2022,Goregaon
2022 Renault TRIBER RXT LIMITED EDITION,565000.0,Petrol,Manual,43016,Nov 2022,1,Seawood,2022,Seawood
2021 Renault TRIBER RXL AMT,495000.0,Petrol,Automatic,61668,Jan 2021,1,"Regency Anantam, Dombivli East",2021,Regency Anantam
2020 Renault TRIBER RXZ AMT,491000.0,Petrol,Automatic,28638,Aug 2020,1,"Korum Mall, Thane West",2020,Korum Mall
2023 Renault Kiger RXZ AMT DUAL TONE,718000.0,Petrol,Automatic,2400,Jun 2023,1,Thakur Village Kandivali E Mumbai,2023,Thakur Village Kandivali E Mumbai
2018 Renault Kwid RXT 1.0 AMT (O),328000.0,Petrol,Automatic,34900,Oct 2018,1,"Regency Anantam, Dombivli East",2018,Regency Anantam
2018 Renault Duster RXL PETROL,521000.0,Petrol,Manual,33150,Jun 2018,1,Seawood,2018,Seawood
2021 Renault Kiger RXZ AMT DUAL TONE,651000.0,Petrol,Automatic,33349,Jun 2021,1,"Korum Mall, Thane West",2021,Korum Mall
2021 Renault Duster RXZ 1.3 TURBO PETROL CVT,747000.0,Petrol,Automatic,39178,Nov 2021,1,"Mulund West, Mumbai",2021,Mulund West
2014 Renault Duster 110 PS RXL DIESEL,280000.0,Diesel,Manual,72150,Nov 2014,3,Vasai (W Vasai-Virar Maharashtra,2014,Vasai (W Vasai-Virar Maharashtra
2019 Renault TRIBER RXT,371000.0,Petrol,Manual,32000,Aug 2019,2,Shivaji Nagar Mumbai Maharashtra,2019,Shivaji Nagar Mumbai Maharashtra
2016 Renault Kwid RXT 0.8,209000.0,Petrol,Manual,36113,Jul 2016,2,CBD Belapur Navi Mumbai,2016,CBD Belapur Navi Mumbai
2013 Renault Duster 110 PS RXL DIESEL,170000.0,Diesel,Manual,171066,Mar 2013,2,Dighe Navi Mumbai Maharashtra,2013,Dighe Navi Mumbai Maharashtra
2016 Renault Kwid RXT 0.8,180000.0,Petrol,Manual,37555,Oct 2016,3,Andheri East Mumbai,2016,Andheri East Mumbai
2016 Renault Kwid RXT 0.8,219000.0,Petrol,Manual,47608,Jul 2016,2,Mankhurd Mumbai Maharashtra,2016,Mankhurd Mumbai Maharashtra
2020 Renault TRIBER RXL MT,532000.0,Petrol,Manual,50270,Nov 2020,1,Ulwe Navi Mumbai Maharashtra,2020,Ulwe Navi Mumbai Maharashtra
2017 Renault Kwid CLIMBER 1.0,360000.0,Petrol,Manual,15953,May 2017,2,Powai Mumbai Maharashtra,2017,Powai Mumbai Maharashtra
2019 Renault Kwid RXT 1.0 (O),289000.0,Petrol,Manual,14288,Jul 2019,2,Mira Road East Mira Bhayandar Maharashtra,2019,Mira Road East Mira Bhayandar Maharashtra
2019 Renault TRIBER RXZ,400000.0,Petrol,Manual,75673,Dec 2019,2,Kanjurmarg East Mumbai Maharashtra,2019,Kanjurmarg East Mumbai Maharashtra
2017 Renault Kwid RXT 1.0 AMT (O),254000.0,Petrol,Automatic,39500,Nov 2017,3,Malad West Mumbai,2017,Malad West Mumbai
2019 Renault TRIBER RXZ,434000.0,Petrol,Manual,27273,Nov 2019,1,Andheri East Mumbai Maharashtra,2019,Andheri East Mumbai Maharashtra
2013 Renault Duster RXL PETROL,250000.0,Petrol,Manual,5465,Jan 2013,1,Dahisar East Mumbai Maharashtra,2013,Dahisar East Mumbai Maharashtra
2019 Renault Kwid CLIMBER 1.0 AMT,265000.0,Petrol,Automatic,59640,Jun 2019,3,Padma Nagar Bhiwandi Maharashtra,2019,Padma Nagar Bhiwandi Maharashtra
2021 Renault Kiger RXL MT,461000.00000000006,Petrol,Manual,31999,Jul 2021,2,Khadakpada Kalyan,2021,Khadakpada Kalyan
2023 Renault TRIBER RXL MT,550000.0,Petrol,Manual,22145,Jan 2023,2,Kurla Mumbai Maharashtra,2023,Kurla Mumbai Maharashtra
2021 Renault TRIBER RXZ,491000.0,Petrol,Manual,61645,Jul 2021,1,Seawoods Navi Mumbai Maharashtra,2021,Seawoods Navi Mumbai Maharashtra
2020 Renault Kwid RXT 1.0 (O),325000.0,Petrol,Manual,9513,Jan 2020,1,Near Adharwadi jail,2020,Near Adharwadi jail
2023 Renault TRIBER RXZ,600000.0,Petrol,Manual,30539,Apr 2023,1,Jogeshwari East Mumbai Maharashtra,2023,Jogeshwari East Mumbai Maharashtra
2022 Renault Kwid RXT 1.0,401999.99999999994,Petrol,Manual,25540,Oct 2022,2,Mumbai Mumbai City Maharashtra,2022,Mumbai Mumbai City Maharashtra
2019 Renault TRIBER RXZ,492000.0,Petrol,Manual,55453,Dec 2019,1,Tejnaksh Hospital Uran Maharashtra,2019,Tejnaksh Hospital Uran Maharashtra
2020 Renault Kwid CLIMBER 1.0 AMT (O),360000.0,Petrol,Automatic,28137,Mar 2020,1,Malad West Mumbai Maharashtra,2020,Malad West Mumbai Maharashtra
2021 Renault TRIBER RXL MT,484999.99999999994,Petrol,Manual,83303,Apr 2021,1,Karanjade Navi Mumbai Maharashtra,2021,Karanjade Navi Mumbai Maharashtra
2022 Renault Kiger RXT AMT,655000.0,Petrol,Automatic,2600,Aug 2022,1,Kandivali West Mumbai,2022,Kandivali West Mumbai
2018 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,572000.0,Diesel,Automatic,166005,Mar 2018,1,Panvel Mumbai Maharashtra,2018,Panvel Mumbai Maharashtra
2023 Renault Kiger RXZ AMT DUAL TONE,630000.0,Petrol,Automatic,26579,Aug 2023,1,Majiwada Thane Maharashtra,2023,Majiwada Thane Maharashtra
2013 Renault Duster 110 PS RXZ DIESEL,273000.0,Diesel,Manual,102172,Oct 2013,2,Ghansoli Navi Mumbai Maharashtra,2013,Ghansoli Navi Mumbai Maharashtra
2021 Renault Kiger RXT TURBO CVT,673000.0,Petrol,Automatic,27050,Sep 2021,1,Goregaon Mumbai Maharashtra,2021,Goregaon Mumbai Maharashtra
2017 Renault Lodgy 85 PS RXE 7 STR,380000.0,Diesel,Manual,118238,Dec 2017,2,Vasai East Vasai-Virar,2017,Vasai East Vasai-Virar
2022 Renault Kiger RXZ TURBO CVT,790000.0,Petrol,Automatic,21688,Jun 2022,1,Thane West Thane Maharashtra,2022,Thane West Thane Maharashtra
2013 Renault Duster 85 PS RXL DIESEL,355000.0,Diesel,Manual,92915,Jul 2013,1,Shilphata Thane,2013,Shilphata Thane
2017 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,513999.99999999994,Diesel,Automatic,90790,Jul 2017,2,Ghatkopar East Mumbai Maharashtra,2017,Ghatkopar East Mumbai Maharashtra
2020 Renault Kwid CLIMBER 1.0 AMT (O),390000.0,Petrol,Automatic,34000,Feb 2020,1,Kandivali East Mumbai,2020,Kandivali East Mumbai
2015 Renault Lodgy 85 PS RXZ,434999.99999999994,Diesel,Manual,104767,Jul 2015,1,Turbhe Navi Mumbai Maharashtra,2015,Turbhe Navi Mumbai Maharashtra
2022 Renault Kiger RXT (O) AMT,640000.0,Petrol,Automatic,27306,Jun 2022,1,Wadala Mumbai,2022,Wadala Mumbai
2017 Renault Kwid RXT 1.0,170000.0,Petrol,Manual,80038,May 2017,3,Ulwe Navi Mumbai Maharashtra,2017,Ulwe Navi Mumbai Maharashtra
2019 Renault Kwid CLIMBER 1.0 AMT,348000.0,Petrol,Automatic,15476,May 2019,1,"Korum Mall, Thane West",2019,Korum Mall
2022 Renault Kwid CLIMBER 1.0 AMT,401999.99999999994,Petrol,Automatic,39863,Mar 2022,1,Kandivali East Mumbai Maharashtra,2022,Kandivali East Mumbai Maharashtra
2016 Renault Kwid RXT 0.8,250000.0,Petrol,Manual,60955,Nov 2016,1,Dattanagar Badlapur,2016,Dattanagar Badlapur
2017 Renault Kwid CLIMBER 1.0 AMT,271000.0,Petrol,Automatic,53740,Apr 2017,1,Thakur Village Kandivali E Mumbai,2017,Thakur Village Kandivali E Mumbai
2021 Renault Kwid RXT 1.0 AMT (O),338000.0,Petrol,Automatic,52397,Oct 2021,1,"Regency Anantam, Dombivli East",2021,Regency Anantam
2023 Renault TRIBER RXT,600000.0,Petrol,Manual,17530,Aug 2023,1,"Mulund West, Mumbai",2023,Mulund West
2019 Renault Kwid RXT 1.0 AMT (O),324000.0,Petrol,Automatic,27164,May 2019,3,"Kompally, Hyderabad",2019,Kompally
2020 Renault Kwid RXT 1.0 (O),378000.0,Petrol,Manual,33527,Dec 2020,1,"Kompally, Hyderabad",2020,Kompally
2022 Renault TRIBER RXZ AMT,660000.0,Petrol,Automatic,21151,May 2022,1,"Kompally, Hyderabad",2022,Kompally
2016 Renault Kwid RXL,227999.99999999997,Petrol,Manual,47662,Jul 2016,2,"Upperpally, Attapur, Hyderabad",2016,Upperpally
2017 Renault Kwid RXT 1.0,235000.0,Petrol,Manual,48157,Jan 2017,2,"Kompally, Hyderabad",2017,Kompally
2022 Renault Kiger RXZ MT,565000.0,Petrol,Manual,44362,Jun 2022,1,"Kompally, Hyderabad",2022,Kompally
2020 Renault TRIBER RXZ,455000.0,Petrol,Manual,74766,Jan 2020,2,"Bachupally, Hyderabad",2020,Bachupally
2020 Renault TRIBER RXT,449000.0,Petrol,Manual,23967,Sep 2020,1,"Bachupally, Hyderabad",2020,Bachupally
2022 Renault Kiger RXT AMT,546000.0,Petrol,Automatic,32808,Mar 2022,1,"Kompally, Hyderabad",2022,Kompally
2021 Renault Kwid CLIMBER 1.0 AMT (O),360000.0,Petrol,Automatic,63000,Mar 2021,1,"Kompally, Hyderabad",2021,Kompally
2022 Renault Kiger RXT MT,503000.0,Petrol,Manual,47789,Jun 2022,1,"GVK One Mall, Banjara Hills, Hyderabad, Telangana",2022,GVK One Mall
2015 Renault Duster 110 PS RXL DIESEL,338000.0,Diesel,Manual,105124,May 2015,2,"Upperpally, Attapur, Hyderabad",2015,Upperpally
2023 Renault Kiger RXZ MT,559000.0,Petrol,Manual,62812,Jan 2023,1,"Kompally, Hyderabad",2023,Kompally
2018 Renault Kwid RXT 1.0,249000.00000000003,Petrol,Manual,80027,Dec 2018,1,"Kompally, Hyderabad",2018,Kompally
2020 Renault TRIBER RXL AMT,461000.00000000006,Petrol,Automatic,64442,Jul 2020,1,"Bachupally, Hyderabad",2020,Bachupally
2020 Renault Kwid RXT 1.0 (O),339000.0,Petrol,Manual,32785,Jan 2020,1,"GVK One Mall, Banjara Hills, Hyderabad, Telangana",2020,GVK One Mall
2021 Renault TRIBER RXT,471000.0,Petrol,Manual,45704,Oct 2021,1,"Upperpally, Attapur, Hyderabad",2021,Upperpally
2019 Renault TRIBER RXZ,451000.0,Petrol,Manual,24273,Nov 2019,1,"GVK One Mall, Banjara Hills, Hyderabad, Telangana",2019,GVK One Mall
2019 Renault Kwid RXT 1.0,289000.0,Petrol,Manual,76208,May 2019,1,"Kompally, Hyderabad",2019,Kompally
2020 Renault TRIBER RXZ AMT,463999.99999999994,Petrol,Automatic,62933,Aug 2020,2,"GVK One Mall, Banjara Hills, Hyderabad, Telangana",2020,GVK One Mall
2017 Renault Kwid CLIMBER 1.0 AMT,301000.0,Petrol,Automatic,62728,Aug 2017,1,"Upperpally, Attapur, Hyderabad",2017,Upperpally
2018 Renault Kwid RXT 1.0 (O),315000.0,Petrol,Manual,39846,Jan 2018,1,"Bachupally, Hyderabad",2018,Bachupally
2021 Renault Kwid RXT 1.0 AMT,363000.0,Petrol,Automatic,60281,Jul 2021,1,"Upperpally, Attapur, Hyderabad",2021,Upperpally
2021 Renault Kiger RXT MT,513000.0,Petrol,Manual,24148,Apr 2021,1,"Bachupally, Hyderabad",2021,Bachupally
2022 Renault Kwid RXT 1.0,416000.0,Petrol,Manual,24821,Nov 2022,1,"Bachupally, Hyderabad",2022,Bachupally
2023 Renault TRIBER RXZ,573000.0,Petrol,Manual,35727,Aug 2023,1,"GVK One Mall, Banjara Hills, Hyderabad, Telangana",2023,GVK One Mall
2022 Renault Kwid RXT 1.0,375000.0,Petrol,Manual,40651,Sep 2022,1,"Upperpally, Attapur, Hyderabad",2022,Upperpally
2021 Renault TRIBER RXT,482000.0,Petrol,Manual,71088,Nov 2021,1,"Upperpally, Attapur, Hyderabad",2021,Upperpally
2021 Renault TRIBER RXT,543000.0,Petrol,Manual,21342,Mar 2021,1,"Kompally, Hyderabad",2021,Kompally
2021 Renault Kiger RXZ AMT,648000.0,Petrol,Automatic,32965,Feb 2021,1,"Upperpally, Attapur, Hyderabad",2021,Upperpally
2019 Renault Kwid RXT 1.0 AMT (O),339000.0,Petrol,Automatic,36775,Nov 2019,2,"Bachupally, Hyderabad",2019,Bachupally
2019 Renault TRIBER RXL MT,474000.0,Petrol,Manual,18371,Dec 2019,1,"Upperpally, Attapur, Hyderabad",2019,Upperpally
2022 Renault Kiger RXZ MT,645000.0,Petrol,Manual,56908,Jun 2022,1,"Bachupally, Hyderabad",2022,Bachupally
2021 Renault TRIBER RXL AMT,541000.0,Petrol,Automatic,45845,Mar 2021,1,"Bachupally, Hyderabad",2021,Bachupally
2021 Renault Kiger RXZ TURBO MT,638000.0,Petrol,Manual,45022,Feb 2021,1,"Upperpally, Attapur, Hyderabad",2021,Upperpally
2022 Renault TRIBER RXT,553000.0,Petrol,Manual,101210,Apr 2022,1,"Bachupally, Hyderabad",2022,Bachupally
2021 Renault TRIBER RXT AMT,517000.0,Petrol,Automatic,71184,Jul 2021,1,"Upperpally, Attapur, Hyderabad",2021,Upperpally
2019 Renault Duster 110 PS RXS 4X2 AMT DIESEL,657000.0,Diesel,Automatic,106032,Nov 2019,2,"Bachupally, Hyderabad",2019,Bachupally
2022 Renault Kiger RXZ MT,583000.0,Petrol,Manual,72942,Jan 2022,1,"Bachupally, Hyderabad",2022,Bachupally
2018 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,613000.0,Diesel,Automatic,132913,Jun 2018,1,"Upperpally, Attapur, Hyderabad",2018,Upperpally
2022 Renault Kiger RXT MT,647000.0,Petrol,Manual,5588,Sep 2022,1,"Bachupally, Hyderabad",2022,Bachupally
2017 Renault Kwid RXT 1.0,270000.0,Petrol,Manual,19173,Jan 2017,1,Gachibowli Hyderabad Telangana,2017,Gachibowli Hyderabad Telangana
2015 Renault Kwid RXT 0.8,283000.0,Petrol,Manual,35795,Dec 2015,1,Amberpet Hyderabad Telangana,2015,Amberpet Hyderabad Telangana
2021 Renault Kwid CLIMBER 1.0 AMT (O),459000.0,Petrol,Automatic,25760,Sep 2021,1,Hyderabad Ramachandrapuram (BHEL Township) Telangana,2021,Hyderabad Ramachandrapuram (BHEL Township) Telangana
2017 Renault Kwid CLIMBER 1.0 AMT,372000.0,Petrol,Automatic,86859,Nov 2017,1,Hyderabad Secunderabad Telangana,2017,Hyderabad Secunderabad Telangana
2017 Renault Kwid RXT 1.0,250000.0,Petrol,Manual,83133,Jan 2017,2,Subhash Gunj Zaheerabad,2017,Subhash Gunj Zaheerabad
2020 Renault TRIBER RXZ,614000.0,Petrol,Manual,84767,Mar 2020,1,Ramachandrapuram Ramachandrapuram (BHEL Township) Telangana,2020,Ramachandrapuram Ramachandrapuram (BHEL Township) Telangana
2017 Renault Kwid RXT 1.0 AMT,317000.0,Petrol,Automatic,65870,Feb 2017,2,Bachupally Cross Road Bachupally Hyderabad,2017,Bachupally Cross Road Bachupally Hyderabad
2017 Renault Kwid RXT 1.0 AMT,293000.0,Petrol,Automatic,83582,Jan 2017,3,Suraram Hyderabad,2017,Suraram Hyderabad
2015 Renault Lodgy 110 PS RXZ 7 STR,267000.0,Diesel,Manual,66350,Jun 2015,2,Nabil Colony Kothapet,2015,Nabil Colony Kothapet
2017 Renault Kwid CLIMBER 1.0 AMT,379000.0,Petrol,Automatic,16852,Apr 2017,1,Hyderabad Ramachandrapuram Telangana,2017,Hyderabad Ramachandrapuram Telangana
2021 Renault TRIBER RXZ,563000.0,Petrol,Manual,31678,Jan 2021,1,Chengicherla Hyderabad,2021,Chengicherla Hyderabad
2020 Renault TRIBER RXZ,550000.0,Petrol,Manual,58203,Oct 2020,1,Shamirpet Secunderabad,2020,Shamirpet Secunderabad
2012 Renault Duster 85 PS RXL DIESEL,267000.0,Diesel,Manual,115209,Oct 2012,2,Karkhana Secunderabad Telangana,2012,Karkhana Secunderabad Telangana
2019 Renault Kwid RXT 1.0 AMT,384000.0,Petrol,Automatic,20632,Jul 2019,2,Mehdipatnam Hyderabad Telangana,2019,Mehdipatnam Hyderabad Telangana
2020 Renault Kwid RXT 1.0 (O),330000.0,Petrol,Manual,24098,May 2020,3,Banjara Hills Hyderabad Telangana,2020,Banjara Hills Hyderabad Telangana
2020 Renault Kwid CLIMBER 1.0 (O),430000.0,Petrol,Manual,49323,Sep 2020,2,New Bowenpally Secunderabad Telangana,2020,New Bowenpally Secunderabad Telangana
2022 Renault Kwid RXT 1.0 AMT (O),475000.0,Petrol,Automatic,14565,Jan 2022,1,Jagruthi Colony Kondapur Telangana,2022,Jagruthi Colony Kondapur Telangana
2021 Renault TRIBER RXZ AMT DUAL TONE,620000.0,Petrol,Automatic,37684,Apr 2021,1,BK Enclave Miyapur,2021,BK Enclave Miyapur
2021 Renault Kwid RXT 1.0 AMT (O),352000.0,Petrol,Automatic,88357,Oct 2021,2,Upperpally Hyderabad Telangana,2021,Upperpally Hyderabad Telangana
2024 Renault Kiger RXZ MT DUAL TONE,708000.0,Petrol,Manual,9463,Apr 2024,1,Bolarum Secunderabad Telangana,2024,Bolarum Secunderabad Telangana
2013 Renault Duster 85 PS RXL DIESEL,380000.0,Diesel,Manual,262015,Apr 2013,2,Rajendranagar mandal Hyderabad,2013,Rajendranagar mandal Hyderabad
2017 Renault Duster RXS CVT,621000.0,Petrol,Automatic,47199,Sep 2017,2,Karwan Hyderabad Telangana,2017,Karwan Hyderabad Telangana
2013 Renault Duster 85 PS RXE DIESEL,326000.0,Diesel,Manual,99943,Jan 2013,2,Pathar Gatti Hyderabad,2013,Pathar Gatti Hyderabad
2012 Renault Duster 85 PS RXL DIESEL,300000.0,Diesel,Manual,242319,Oct 2012,1,Gachibowli Hyderabad Telangana,2012,Gachibowli Hyderabad Telangana
2012 Renault Duster 110 PS RXL DIESEL,319000.0,Diesel,Manual,137976,Jul 2012,1,Nagaram Secunderabad,2012,Nagaram Secunderabad
2021 Renault Kiger RXZ AMT DUAL TONE,740000.0,Petrol,Automatic,37916,Sep 2021,1,Nagole Hyderabad Telangana,2021,Nagole Hyderabad Telangana
2016 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,480000.0,Diesel,Automatic,169980,Jun 2016,2,Kukatpally Hyderabad,2016,Kukatpally Hyderabad
2023 Renault Kiger RXZ AMT,783000.0,Petrol,Automatic,15070,Jun 2023,1,Rambagh Colony Hyderabad Telangana,2023,Rambagh Colony Hyderabad Telangana
2015 Renault Lodgy 110 PS RXZ STEPWAY 7 STR,585000.0,Diesel,Manual,100736,May 2015,1,Bachupally Hyderabad,2015,Bachupally Hyderabad
2022 Renault TRIBER RXT AMT,536000.0,Petrol,Automatic,91417,Jul 2022,1,Annojiguda Badesahebguda,2022,Annojiguda Badesahebguda
2019 Renault Kwid RXT 1.0 AMT,398000.0,Petrol,Automatic,28718,Nov 2019,1,"Bachupally, Hyderabad",2019,Bachupally
2021 Renault TRIBER RXE MT,449000.0,Petrol,Manual,67844,Jan 2021,1,"Upperpally, Attapur, Hyderabad",2021,Upperpally
2018 Renault Kwid RXT 1.0 AMT (O),282000.0,Petrol,Automatic,32754,Nov 2018,2,"Kompally, Hyderabad",2018,Kompally
2018 Renault Kwid RXT 1.0 (O),288000.0,Petrol,Manual,47409,Oct 2018,2,"Kompally, Hyderabad",2018,Kompally
2018 Renault Kwid RXT 1.0 AMT,305000.0,Petrol,Automatic,51234,Mar 2018,1,"Kompally, Hyderabad",2018,Kompally
2016 Renault Duster RXL PETROL,446000.0,Petrol,Manual,75565,Mar 2016,1,"Kompally, Hyderabad",2016,Kompally
